event_id,event_date,team_name,team_id,roster_confirmed,rider_name,rider_id,pcs_rank,event_rank,uci_points,pcs_points_season,pcs_points_last_60d,pcs_gc_points,pcs_gc_points_season,pcs_sprint_points,pcs_sprint_points_season,pcs_rank_w,event_rank_w,uci_points_w,pcs_points_season_w,pcs_gc_points_season_w,pcs_points_last_60d_w,pcs_gc_points_w,pcs_sprint_points_w,pcs_sprint_points_season_w,gc_score,classic_score,sprinter_score,stage_form_score,combined_score,rank,tier,fav_points
vuelta-a-espana,2025-08-23,Intermarché - Wanty (WT),team/intermarche-wanty-2025,,PETILLI Simone,rider/simone-petilli,713.0,147.0,15.0,35.0,5.0,86.5,50.0,0.0,0.0,713.0,147.0,15.0,35.0,50.0,5.0,86.5,0.0,0.0,-3.111142470408091,-3.2684278034556833,-2.3894504164310497,,-3.01398965952696,0.0,0.0,0.0
vuelta-a-espana,2025-08-23,Arkéa - B&B Hotels (WT),team/arkea-b-b-hotels-2025,,LOZOUET Léandre,rider/leandre-lozouet,702.0,144.0,5.0,30.0,0.0,5.0,5.0,47.0,47.0,702.0,144.0,5.0,30.0,5.0,0.0,10.0,47.0,47.0,-3.8257460115811854,-3.3554013114850436,-1.0091240248201325,,-3.121318204200132,0.0,0.0,0.0
vuelta-a-espana,2025-08-23,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025,,BAYER Tobias,rider/tobias-bayer,731.0,150.0,60.0,37.0,7.0,66.25,20.0,7.25,5.0,731.0,150.0,60.0,37.0,20.0,7.0,66.25,7.25,5.0,-3.505458331069004,-3.2370003080931466,-2.2457814245400076,,-3.1729855428704474,0.0,0.0,0.0
vuelta-a-espana,2025-08-23,Caja Rural - Seguros RGA (PRT),team/caja-rural-seguros-rga-2025,,BOU Joan,rider/joan-bou,814.0,156.0,24.0,20.0,0.0,187.75,34.0,0.0,0.0,814.0,156.0,24.0,20.0,34.0,0.0,187.75,0.0,0.0,-3.1153834414235004,-3.7182946853815433,-2.659209184753106,,-3.205021963276834,0.0,0.0,0.0
vuelta-a-espana,2025-08-23,Bahrain - Victorious (WT),team/bahrain-victorious-2025,,BURATTI Nicolò,rider/nicolo-buratti,722.0,149.0,59.0,44.0,1.0,32.75,11.0,18.0,8.0,722.0,149.0,59.0,44.0,11.0,1.0,32.75,18.0,8.0,-3.7062226673221748,-3.293762073755077,-2.064654410121349,,-3.25417083781188,0.0,0.0,0.0
vuelta-a-espana,2025-08-23,Team Jayco AlUla (WT),team/team-jayco-alula-2025,,JUUL-JENSEN Christopher,rider/christopher-juul-jensen,781.0,152.0,23.14,42.0,5.0,82.5,25.0,7.5,5.0,781.0,152.0,23.14,42.0,25.0,5.0,82.5,7.5,5.0,-3.5398487284398974,-3.4006341982194623,-2.393928156253862,,-3.26890025493656,0.0,0.0,0.0
vuelta-a-espana,2025-08-23,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025,,GLIVAR Gal,rider/gal-glivar,770.0,151.0,50.0,43.0,0.0,84.25,18.0,10.0,2.0,770.0,151.0,50.0,43.0,18.0,0.0,84.25,10.0,2.0,-3.543960070863261,-3.438696675390686,-2.3734311612759207,,-3.2782752703040203,0.0,0.0,0.0
vuelta-a-espana,2025-08-23,Lotto (PRT),team/lotto-2025,,GREGAARD Jonas,rider/jonas-gregaard,796.0,155.0,0.0,30.0,0.0,110.0,40.0,0.5,0.0,796.0,155.0,0.0,30.0,40.0,0.0,110.0,0.5,0.0,-3.359524745556881,-3.64411453292095,-2.633985862848606,,-3.2997939052244467,0.0,0.0,0.0
vuelta-a-espana,2025-08-23,Team Jayco AlUla (WT),team/team-jayco-alula-2025,,BOUWMAN Koen,rider/koen-bouwman,895.0,162.0,10.0,30.0,0.0,245.25,23.0,5.0,5.0,895.0,162.0,10.0,30.0,23.0,0.0,245.25,5.0,5.0,-3.208558199962797,-3.890236176438827,-2.741990635222913,,-3.319748079957629,0.0,0.0,0.0
vuelta-a-espana,2025-08-23,XDS Astana Team (WT),team/xds-astana-team-2025,,VINOKUROV Nicolas,rider/nicolas-vinokurov,825.0,158.0,84.0,27.0,9.0,69.25,34.0,18.75,0.0,825.0,158.0,84.0,27.0,34.0,9.0,69.25,18.75,0.0,-3.589619689134066,-3.4828991594213745,-2.4721093521915285,,-3.3341014628317516,0.0,0.0,0.0
vuelta-a-espana,2025-08-23,Bahrain - Victorious (WT),team/bahrain-victorious-2025,,ERMAKOV Roman,rider/roman-ermakov,718.0,148.0,8.0,30.0,5.0,10.0,10.0,5.0,5.0,718.0,148.0,8.0,30.0,10.0,5.0,10.0,5.0,5.0,-3.8427067250429454,-3.3209393054225336,-2.2726076984328887,,-3.3721566938348104,0.0,0.0,0.0
