event_id,event_date,team_name,team_id,rider_name,rider_id,pcs_rank,event_rank,uci_points,pcs_points_season,pcs_gc_points,pcs_points_last_60d
vuelta-a-espana,2024-08-17,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2024,KUSS Sepp,rider/sepp-kuss,40,14,581,341,365,185
vuelta-a-espana,2024-08-17,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2024,AFFINI Edoardo,rider/edoardo-affini,415,96,580.14,108,45,50
vuelta-a-espana,2024-08-17,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2024,GESINK Robert,rider/robert-gesink,899,157,35,20,40,0
vuelta-a-espana,2024-08-17,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2024,KRUIJSWIJK Steven,rider/steven-kruijswijk,-,171,90,15,90,0
vuelta-a-espana,2024-08-17,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2024,UIJTDEBROEKS Cian,rider/cian-uijtdebroeks,158,45,327,179,133,0
vuelta-a-espana,2024-08-17,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2024,VALTER Attila,rider/attila-valter,104,28,1048,436,243,192
vuelta-a-espana,2024-08-17,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2024,VAN AERT Wout,rider/wout-van-aert,7,1,2885,1020,80,549
vuelta-a-espana,2024-08-17,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2024,VAN BAARLE Dylan,rider/dylan-van-baarle,486,108,20,40,5,20
vuelta-a-espana,2024-08-17,UAE Team Emirates (WT),team/uae-team-emirates-2024,ALMEIDA João,rider/joao-almeida,10,2,2144.57,1055,630,486
vuelta-a-espana,2024-08-17,UAE Team Emirates (WT),team/uae-team-emirates-2024,BARONCINI Filippo,rider/filippo-baroncini,424,98,600,109,45,34
vuelta-a-espana,2024-08-17,UAE Team Emirates (WT),team/uae-team-emirates-2024,DEL TORO Isaac,rider/isaac-del-toro,55,18,1369,767,570,5
vuelta-a-espana,2024-08-17,UAE Team Emirates (WT),team/uae-team-emirates-2024,SIVAKOV Pavel,rider/pavel-sivakov,69,22,1118,196,423,56
vuelta-a-espana,2024-08-17,UAE Team Emirates (WT),team/uae-team-emirates-2024,VINE Jay,rider/jay-vine,380,92,785.57,158,36,32
vuelta-a-espana,2024-08-17,UAE Team Emirates (WT),team/uae-team-emirates-2024,YATES Adam,rider/adam-yates,16,6,2243,1088,876,364
vuelta-a-espana,2024-08-17,UAE Team Emirates (WT),team/uae-team-emirates-2024,MCNULTY Brandon,rider/brandon-mcnulty,12,4,2192.9,1135,555,244
vuelta-a-espana,2024-08-17,UAE Team Emirates (WT),team/uae-team-emirates-2024,SOLER Marc,rider/marc-soler,123,36,996.57,270,222,25
vuelta-a-espana,2024-08-17,INEOS Grenadiers (WT),team/ineos-grenadiers-2024,ARENSMAN Thymen,rider/thymen-arensman,103,27,1149,510,386,11
vuelta-a-espana,2024-08-17,INEOS Grenadiers (WT),team/ineos-grenadiers-2024,DE PLUS Laurens,rider/laurens-de-plus,124,37,602.86,461,361,192
vuelta-a-espana,2024-08-17,INEOS Grenadiers (WT),team/ineos-grenadiers-2024,HEIDUK Kim,rider/kim-heiduk,853,153,72,20,35,9
vuelta-a-espana,2024-08-17,INEOS Grenadiers (WT),team/ineos-grenadiers-2024,NARVÁEZ Jhonatan,rider/jhonatan-narvaez,36,13,1840,754,248,95
vuelta-a-espana,2024-08-17,INEOS Grenadiers (WT),team/ineos-grenadiers-2024,RIVERA Brandon Smith,rider/brandon-smith-rivera-vargas,216,59,375,306,262,151
vuelta-a-espana,2024-08-17,INEOS Grenadiers (WT),team/ineos-grenadiers-2024,RODRÍGUEZ Carlos,rider/carlos-rodriguez-cano,20,8,2280.86,1070,977,343
vuelta-a-espana,2024-08-17,INEOS Grenadiers (WT),team/ineos-grenadiers-2024,RODRÍGUEZ Óscar,rider/oscar-rodriguez,357,90,247,159,219,31
vuelta-a-espana,2024-08-17,INEOS Grenadiers (WT),team/ineos-grenadiers-2024,TARLING Joshua,rider/joshua-tarling,77,24,764.86,345,15,175
vuelta-a-espana,2024-08-17,Soudal Quick-Step (WT),team/soudal-quick-step-2024,LANDA Mikel,rider/mikel-landa,27,11,2122,796,726,433
vuelta-a-espana,2024-08-17,Soudal Quick-Step (WT),team/soudal-quick-step-2024,ASGREEN Kasper,rider/kasper-asgreen,355,89,420,154,90,18
vuelta-a-espana,2024-08-17,Soudal Quick-Step (WT),team/soudal-quick-step-2024,CATTANEO Mattia,rider/mattia-cattaneo,184,48,301.57,25,63,0
vuelta-a-espana,2024-08-17,Soudal Quick-Step (WT),team/soudal-quick-step-2024,KNOX James,rider/james-knox,755,142,29,21,40,0
vuelta-a-espana,2024-08-17,Soudal Quick-Step (WT),team/soudal-quick-step-2024,LECERF Junior,rider/junior-lecerf,260,73,332,211,159,5
vuelta-a-espana,2024-08-17,Soudal Quick-Step (WT),team/soudal-quick-step-2024,PEDERSEN Casper,rider/casper-pedersen,524,113,98.57,71,30,0
vuelta-a-espana,2024-08-17,Soudal Quick-Step (WT),team/soudal-quick-step-2024,VANSEVENANT Mauri,rider/mauri-vansevenant,189,51,1050,319,208,10
vuelta-a-espana,2024-08-17,Soudal Quick-Step (WT),team/soudal-quick-step-2024,VERVAEKE Louis,rider/louis-vervaeke,434,100,106.57,69,53,0
vuelta-a-espana,2024-08-17,Lidl - Trek (WT),team/lidl-trek-2024,SKJELMOSE Mattias,rider/mattias-skjelmose-jensen,19,7,2366,861,660,71
vuelta-a-espana,2024-08-17,Lidl - Trek (WT),team/lidl-trek-2024,CICCONE Giulio,rider/giulio-ciccone,110,30,1253,460,285,282
vuelta-a-espana,2024-08-17,Lidl - Trek (WT),team/lidl-trek-2024,GEOGHEGAN HART Tao,rider/tao-geoghegan-hart,449,104,163,131,143,0
vuelta-a-espana,2024-08-17,Lidl - Trek (WT),team/lidl-trek-2024,KONRAD Patrick,rider/patrick-konrad,326,86,318,196,116,108
vuelta-a-espana,2024-08-17,Lidl - Trek (WT),team/lidl-trek-2024,OOMEN Sam,rider/sam-oomen,749,141,188,33,38,8
vuelta-a-espana,2024-08-17,Lidl - Trek (WT),team/lidl-trek-2024,VACEK Mathias,rider/mathias-vacek,135,40,1190,444,223,157
