event_id,event_date,team_name,team_id,rider_name,rider_id,pcs_rank,event_rank,uci_points,pcs_points_season,pcs_gc_points,pcs_points_last_60d
giro-d-italia,2024-05-04,INEOS Grenadiers (WT),team/ineos-grenadiers-2024,THOMAS Geraint,rider/geraint-thomas,80,17,1270,454,301,45
giro-d-italia,2024-05-04,INEOS Grenadiers (WT),team/ineos-grenadiers-2024,ARENSMAN Thymen,rider/thymen-arensman,138,39,1149,560,386,131
giro-d-italia,2024-05-04,INEOS Grenadiers (WT),team/ineos-grenadiers-2024,FOSS Tobias,rider/tobias-foss,365,94,324,300,95,42
giro-d-italia,2024-05-04,INEOS Grenadiers (WT),team/ineos-grenadiers-2024,GANNA Filippo,rider/filippo-ganna,44,6,1225.67,684,30,15
giro-d-italia,2024-05-04,INEOS Grenadiers (WT),team/ineos-grenadiers-2024,NARVÁEZ Jhonatan,rider/jhonatan-narvaez,45,7,1840,844,248,155
giro-d-italia,2024-05-04,INEOS Grenadiers (WT),team/ineos-grenadiers-2024,SHEFFIELD Magnus,rider/magnus-sheffield,112,27,1010,634,248,176
giro-d-italia,2024-05-04,INEOS Grenadiers (WT),team/ineos-grenadiers-2024,SWIFT Ben,rider/ben-swift,619,131,68,126,55,25
giro-d-italia,2024-05-04,INEOS Grenadiers (WT),team/ineos-grenadiers-2024,SWIFT Connor,rider/connor-swift,406,104,99,78,34,25
giro-d-italia,2024-05-04,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2024,GROVES Kaden,rider/kaden-groves,67,12,1756,745,45,0
giro-d-italia,2024-05-04,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2024,BAYER Tobias,rider/tobias-bayer,697,141,54,76,35,25
giro-d-italia,2024-05-04,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2024,CONCI Nicola,rider/nicola-conci,487,114,185,116,70,28
giro-d-italia,2024-05-04,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2024,HERMANS Quinten,rider/quinten-hermans,221,60,711,384,40,132
giro-d-italia,2024-05-04,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2024,JANSSENS Jimmy,rider/jimmy-janssens,865,160,28,62,34,10
giro-d-italia,2024-05-04,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2024,KIELICH Timo,rider/timo-kielich,201,53,219,179,30,90
giro-d-italia,2024-05-04,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2024,PLANCKAERT Edward,rider/edward-planckaert,597,128,63,64,45,10
giro-d-italia,2024-05-04,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2024,VAN DEN BOSSCHE Fabio,rider/fabio-van-den-bossche,841,157,42,75,40,5
giro-d-italia,2024-05-04,Arkéa - B&B Hotels (WT),team/arkea-b-b-hotels-2024,BIERMANS Jenthe,rider/jenthe-biermans,133,37,757,432,0,136
giro-d-italia,2024-05-04,Arkéa - B&B Hotels (WT),team/arkea-b-b-hotels-2024,BARRÉ Louis,rider/louis-barre,263,70,249,188,74,5
giro-d-italia,2024-05-04,Arkéa - B&B Hotels (WT),team/arkea-b-b-hotels-2024,COSTIOU Ewen,rider/ewen-costiou,207,55,338,320,218,175
giro-d-italia,2024-05-04,Arkéa - B&B Hotels (WT),team/arkea-b-b-hotels-2024,DEKKER David,rider/david-dekker,457,109,96,108,22,22
giro-d-italia,2024-05-04,Arkéa - B&B Hotels (WT),team/arkea-b-b-hotels-2024,GRONDIN Donavan,rider/donavan-grondin,-,172,31,46,30,10
giro-d-italia,2024-05-04,Arkéa - B&B Hotels (WT),team/arkea-b-b-hotels-2024,RIES Michel,rider/michel-ries,672,137,127,89,67,10
giro-d-italia,2024-05-04,Arkéa - B&B Hotels (WT),team/arkea-b-b-hotels-2024,RIOU Alan,rider/alan-riou,831,156,0,45,25,10
giro-d-italia,2024-05-04,Arkéa - B&B Hotels (WT),team/arkea-b-b-hotels-2024,VERRE Alessandro,rider/alessandro-verre,770,150,141,161,94,10
giro-d-italia,2024-05-04,Astana Qazaqstan Team (WT),team/astana-qazaqstan-team-2024,LUTSENKO Alexey,rider/aleksey-lutsenko,63,11,576.43,343,110,234
giro-d-italia,2024-05-04,Astana Qazaqstan Team (WT),team/astana-qazaqstan-team-2024,BALLERINI Davide,rider/davide-ballerini,755,148,205,147,50,7
giro-d-italia,2024-05-04,Astana Qazaqstan Team (WT),team/astana-qazaqstan-team-2024,FORTUNATO Lorenzo,rider/lorenzo-fortunato,229,63,652,556,440,122
giro-d-italia,2024-05-04,Astana Qazaqstan Team (WT),team/astana-qazaqstan-team-2024,KANTER Max,rider/max-kanter,218,57,391,338,15,98
giro-d-italia,2024-05-04,Astana Qazaqstan Team (WT),team/astana-qazaqstan-team-2024,MULUBRHAN Henok,rider/henok-mulubrhan,219,58,619,438,225,10
giro-d-italia,2024-05-04,Astana Qazaqstan Team (WT),team/astana-qazaqstan-team-2024,PRONSKIY Vadim,rider/vadim-pronskiy,378,98,35,51,51,41
giro-d-italia,2024-05-04,Astana Qazaqstan Team (WT),team/astana-qazaqstan-team-2024,SCARONI Christian,rider/christian-scaroni,123,34,524.43,310,90,20
giro-d-italia,2024-05-04,Astana Qazaqstan Team (WT),team/astana-qazaqstan-team-2024,VELASCO Simone,rider/simone-velasco,103,25,646,377,42,52
giro-d-italia,2024-05-04,BORA - hansgrohe (WT),team/bora-hansgrohe-2024,MARTÍNEZ Daniel Felipe,rider/daniel-felipe-martinez,270,73,1860,766,400,3
giro-d-italia,2024-05-04,BORA - hansgrohe (WT),team/bora-hansgrohe-2024,ALEOTTI Giovanni,rider/giovanni-aleotti,272,74,529,437,363,15
