event_id,event_date,team_name,team_id,rider_name,rider_id,pcs_rank,event_rank,uci_points,pcs_points_season,pcs_points_last_60d,pcs_gc_points,pcs_gc_points_season,pcs_sprint_points,pcs_sprint_points_season
giro-d-italia,2023-05-06,Bahrain - Victorious (WT),team/bahrain-victorious-2023,BUITRAGO Santiago,rider/santiago-buitrago-sanchez,51,15,806,387,217,564,380,9.75,9
giro-d-italia,2023-05-06,Bahrain - Victorious (WT),team/bahrain-victorious-2023,CARUSO Damiano,rider/damiano-caruso,104,29,508,318,260,1165.25,414,0,0
giro-d-italia,2023-05-06,Bahrain - Victorious (WT),team/bahrain-victorious-2023,MILAN Jonathan,rider/jonathan-milan,268,71,99.71,93,10,46.25,40,128,107
giro-d-italia,2023-05-06,Bahrain - Victorious (WT),team/bahrain-victorious-2023,PASQUALON Andrea,rider/andrea-pasqualon,154,49,216,142,75,86.25,35,282.75,132
giro-d-italia,2023-05-06,Bahrain - Victorious (WT),team/bahrain-victorious-2023,SÜTTERLIN Jasha,rider/jasha-sutterlin,744,141,0,5,0,96.5,45,19,0
giro-d-italia,2023-05-06,Bahrain - Victorious (WT),team/bahrain-victorious-2023,ZAMBANINI Edoardo,rider/edoardo-zambanini,337,84,13,12,10,66.5,66,50,50
giro-d-italia,2023-05-06,Bora - Hansgrohe (WT),team/bora-hansgrohe-2023,VLASOV Aleksandr,rider/aleksandr-vlasov,55,16,294,220,122,1435,430,29.25,6
giro-d-italia,2023-05-06,Bora - Hansgrohe (WT),team/bora-hansgrohe-2023,ALEOTTI Giovanni,rider/giovanni-aleotti,204,62,57,67,20,354,171,0,0
giro-d-italia,2023-05-06,Bora - Hansgrohe (WT),team/bora-hansgrohe-2023,BENEDETTI Cesare,rider/cesare-benedetti,770,144,0,5,5,78.75,30,1,1
giro-d-italia,2023-05-06,Bora - Hansgrohe (WT),team/bora-hansgrohe-2023,DENZ Nico,rider/nico-denz,457,102,25,33,33,113.75,35,21.25,0
giro-d-italia,2023-05-06,Bora - Hansgrohe (WT),team/bora-hansgrohe-2023,JUNGELS Bob,rider/bob-jungels,94,27,57.14,47,29,406.5,349,3.75,0
giro-d-italia,2023-05-06,Bora - Hansgrohe (WT),team/bora-hansgrohe-2023,KÄMNA Lennard,rider/lennard-kamna,90,25,444,281,241,356.75,275,0,0
giro-d-italia,2023-05-06,Bora - Hansgrohe (WT),team/bora-hansgrohe-2023,KONRAD Patrick,rider/patrick-konrad,105,30,537,284,239,515,242,113.5,96
giro-d-italia,2023-05-06,Bora - Hansgrohe (WT),team/bora-hansgrohe-2023,PALZER Anton,rider/anton-palzer,-,173,15,15,15,45.5,14,0,0
giro-d-italia,2023-05-06,Cofidis (WT),team/cofidis-2023,CONSONNI Simone,rider/simone-consonni,103,28,132,99,54,105,45,328.75,169
giro-d-italia,2023-05-06,Cofidis (WT),team/cofidis-2023,BIDARD François,rider/francois-bidard,-,169,10,5,0,26,11,0,0
giro-d-italia,2023-05-06,Cofidis (WT),team/cofidis-2023,CHAMPION Thomas,rider/thomas-champion,906,158,0,5,5,50.25,35,0,0
giro-d-italia,2023-05-06,Cofidis (WT),team/cofidis-2023,CIMOLAI Davide,rider/davide-cimolai,551,120,1,20,15,86.25,55,80.75,12
giro-d-italia,2023-05-06,Cofidis (WT),team/cofidis-2023,DELETTRE Alexandre,rider/alexandre-delettre,813,148,3,10,10,50.75,20,3.75,0
