"event_id","event_date","team_name","team_id","rider_name","rider_id","pcs_rank","event_rank","uci_points","pcs_points_season","pcs_gc_points_season","pcs_points_last_60d","pcs_gc_points","pcs_sprint_points","pcs_sprint_points_season","pcs_rank_t","event_rank_t","uci_points_t","pcs_points_season_t","pcs_gc_points_season_t","pcs_points_last_60d_t","pcs_gc_points_t","combined_score","gc_weight","rank","diff_next","tier","is_tier1","keep_in_tier1"
"tour-de-france","2025-07-05","Team Visma | Lease a Bike (WT)","team/team-visma-lease-a-bike-2025","YATES Simon","rider/simon-yates",29,21,1973,636,705,508,1383.75,20.25,0,-3.40119738166216,-3.09104245335832,7.58781721999343,6.45676965557216,6.55961523749324,6.17050906672668,7.23327489691321,6.88108397345905,0.954559795955243,5,0.296562698935921,"Tier 2",FALSE,FALSE
"vuelta-a-espana","2025-08-23","Lidl - Trek (WT)","team/lidl-trek-2025","PEDERSEN Mads","rider/mads-pedersen",2,1,4174.57,1884,429,277,684,1467,668,-1.79175946922805,-1.09861228866811,8.33700615491211,7.06722680237865,6.06378520868761,5.62762111369064,6.52941883826223,6.85114399886462,0.882406263470606,7,0.0247150152811209,"Tier 2",FALSE,FALSE
"giro-d-italia","2024-05-04","BORA - hansgrohe (WT)","team/bora-hansgrohe-2024","LIPOWITZ Florian","rider/florian-lipowitz",148,41,1339,222,445,222,1447.75,NA,NA,-5.00394630594546,-3.73766961828337,7.20042489294496,5.40717177146012,6.10031895202006,5.40717177146012,7.27845639465396,6.84886364461603,0.887722679345364,5,0.508781759125687,"Tier 3",FALSE,FALSE
"vuelta-a-espana","2025-08-23","Q36.5 Pro Cycling Team (PRT)","team/q365-pro-cycing-team-2025","PIDCOCK Thomas","rider/thomas-pidcock",15,5,2028,1185,500,143,863,118.75,72,-2.77258872223978,-1.79175946922805,7.61529833982581,7.06722680237865,6.21660610108486,4.969813299576,6.76157276880406,6.8264289835835,0.904644866587238,8,0.023610061744372,"Tier 2",FALSE,FALSE
"vuelta-a-espana","2024-08-17","EF Education - EasyPost (WT)","team/ef-education-easypost-2024","CARAPAZ Richard","rider/richard-carapaz",23,9,2244,792,532,448,1233.5,NA,NA,-3.17805383034795,-2.30258509299405,7.71646080017636,6.67582322163485,6.27852142416584,6.10702288774225,7.11842130878523,6.81020812114316,0.913654827694236,9,0.378228191363579,"Tier 2",FALSE,FALSE
"vuelta-a-espana","2025-08-23","Bahrain - Victorious (WT)","team/bahrain-victorious-2025","TIBERI Antonio","rider/antonio-tiberi",47,13,1070,604,601,238,1059.5,1.5,0,-3.87120101090789,-2.63905732961526,6.97634807044775,6.40522845803084,6.40025744530882,5.47646355193151,6.96649577400474,6.80281892183912,0.931369938610871,9,0.165204180673675,"Tier 2",FALSE,FALSE
"tour-de-france","2023-07-01","UAE Team Emirates (WT)","team/uae-team-emirates-2023","POGAČAR Tadej","rider/tadej-pogacar",1,1,7635.86,1754,780,80,4897.5,NA,NA,-1.79175946922805,-1.09861228866811,8.33700615491211,7.06722680237865,6.66057514983969,4.39444915467244,7.96308311198354,6.78454169676868,0.969251552992796,4,0.30260472394916,"Tier 2",FALSE,FALSE
"tour-de-france","2024-06-29","Red Bull - BORA - hansgrohe (WT)","team/red-bull-bora-hansgrohe-2024","ROGLIČ Primož","rider/primoz-roglic",11,10,3362,550,720,406,2800,NA,NA,-2.484906649788,-2.39789527279837,8.12058871174027,6.31173480915291,6.58063913728495,6.00881318544259,7.93773177526011,6.68562305785741,0.957619208553203,3,0.105611645039247,"Tier 2",FALSE,FALSE
"giro-d-italia","2023-05-06","Bahrain - Victorious (WT)","team/bahrain-victorious-2023","BUITRAGO Santiago","rider/santiago-buitrago-sanchez",51,15,1526.33,387,465,217,1559,NA,NA,-3.95124371858143,-2.77258872223978,7.33127639188987,5.96100533962327,6.14418563412565,5.38449506278909,7.35244110024358,6.68369146166163,0.894106189597703,9,0.243096235002951,"Tier 3",FALSE,FALSE
"giro-d-italia","2025-05-09","Bahrain - Victorious (WT)","team/bahrain-victorious-2025","BILBAO Pello","rider/pello-bilbao",44,16,906,492,450,113,1355,46.5,18,-3.80666248977032,-2.83321334405622,6.81014245011514,6.20050917404269,6.11146733950268,4.7361984483945,7.21229446850034,6.65180445272198,0.891207408947581,12,0.328506242378978,"Tier 2",FALSE,FALSE
"vuelta-a-espana","2025-08-23","UAE Team Emirates - XRG (WT)","team/uae-team-emirates-xrg-2025","AYUSO Juan","rider/juan-ayuso-pesquera",21,8,1836,1049,510,60,1328,1.5,1,-3.09104245335832,-2.19722457733622,7.51588908521513,6.95654544315157,6.2363695902037,4.11087386417331,7.19218205871325,6.63761474116545,0.907520863342781,10,0.202235688652625,"Tier 2",FALSE,FALSE
"tour-de-france","2025-07-05","Soudal Quick-Step (WT)","team/soudal-quick-step-2025","EVENEPOEL Remco","rider/remco-evenepoel",2,2,1883,728,600,258,1557.5,32.5,0,-1.79175946922805,-1.09861228866811,7.54115245513631,6.59167373200866,6.39859493453521,5.55682806169954,7.35147909920739,6.58452127452313,0.931128008880639,6,0.162496515782176,"Tier 2",FALSE,FALSE
"tour-de-france","2024-06-29","UAE Team Emirates (WT)","team/uae-team-emirates-2024","ALMEIDA João","rider/joao-almeida",27,20,2144.57,569,630,376,3186,NA,NA,-3.3322045101752,-3.04452243772342,7.67116053032676,6.3456363608286,6.44730586254121,5.93224518744801,7.96308311198354,6.58001141281816,0.938216457183587,4,0.0624121775366016,"Tier 2",FALSE,FALSE
"vuelta-a-espana","2023-08-26","Bora - Hansgrohe (WT)","team/bora-hansgrohe-2023","VLASOV Aleksandr","rider/aleksandr-vlasov",83,24,2040.55,496,440,259,2424,NA,NA,-4.43081679884331,-3.2188758248682,7.62146460225496,6.20859002609663,6.08904487544685,5.56068163101553,7.79358680337158,6.54739966957687,0.886082067839402,7,0.0295200872616794,"Tier 2",FALSE,FALSE
"vuelta-a-espana","2023-08-26","INEOS Grenadiers (WT)","team/ineos-grenadiers-2023","GANNA Filippo","rider/filippo-ganna",19,7,2932,1193,435,400,799,NA,NA,-2.99573227355399,-2.07944154167984,7.98378106897745,7.06722680237865,6.07764224334903,5.99396142730657,6.68461172766793,6.51787958231519,0.884422748843613,8,0.228499827745398,"Tier 2",FALSE,FALSE
"tour-de-france","2024-06-29","INEOS Grenadiers (WT)","team/ineos-grenadiers-2024","RODRÍGUEZ Carlos","rider/carlos-rodriguez-cano",16,13,2280.86,727,977,201,2080.5,NA,NA,-2.83321334405622,-2.63905732961526,7.7327461788468,6.59030104819669,6.87187462251009,5.30826769740121,7.64084406663503,6.51759923528156,1,5,0.0146278086089255,"Tier 2",FALSE,FALSE
"tour-de-france","2024-06-29","Soudal Quick-Step (WT)","team/soudal-quick-step-2024","EVENEPOEL Remco","rider/remco-evenepoel",3,3,6047.57,832,780,174,2375,NA,NA,-1.79175946922805,-1.38629436111989,8.33700615491211,6.72503364216684,6.66057514983969,5.16478597392351,7.77317368048254,6.50297142667263,0.969251552992796,6,0.0503348127790648,"Tier 2",FALSE,FALSE
"tour-de-france","2023-07-01","Groupama - FDJ (WT)","team/groupama-fdj-2023","PINOT Thibaut","rider/thibaut-pinot",17,13,2207,869,611,461,1201.25,NA,NA,-2.89037175789616,-2.63905732961526,7.69984240739699,6.76849321164863,6.41673228251233,6.13556489108174,7.09195008015777,6.48193697281952,0.933767368440213,5,0.361596568324461,"Tier 2",FALSE,FALSE
"tour-de-france","2024-06-29","Team Visma | Lease a Bike (WT)","team/team-visma-lease-a-bike-2024","JORGENSON Matteo","rider/matteo-jorgenson",22,16,2702.14,929,660,293,1743.25,NA,NA,-3.13549421592915,-2.83321334405622,7.9021693392378,6.8351845861473,6.49375383985169,5.68357976733868,7.46407994281935,6.45263661389357,0.944975599319028,7,0.260732774971386,"Tier 2",FALSE,FALSE
"giro-d-italia","2023-05-06","Trek - Segafredo (WT)","team/trek-segafredo-2023","PEDERSEN Mads","rider/mads-pedersen",6,2,4596.14,680,175,580,1096.5,NA,NA,-1.94591014905531,-1.09861228866811,8.33700615491211,6.52356230614951,5.17048399503815,6.17050906672668,7.00079014494933,6.44059522665868,0.752412446248842,10,0.0673076163072288,"Tier 3",FALSE,FALSE
"vuelta-a-espana","2025-08-23","XDS Astana Team (WT)","team/xds-astana-team-2025","FORTUNATO Lorenzo","rider/lorenzo-fortunato",34,11,1307,750,551,126,904,30,30,-3.55534806148941,-2.484906649788,7.17625453201714,6.62140565176413,6.31354804627709,4.84418708645859,6.80793494369993,6.43537905251282,0.918751926235078,11,0.404951059662567,"Tier 2",FALSE,FALSE
"vuelta-a-espana","2024-08-17","Lidl - Trek (WT)","team/lidl-trek-2024","SKJELMOSE Mattias","rider/mattias-skjelmose-jensen",19,7,2366,861,660,71,1650.75,NA,NA,-2.99573227355399,-2.07944154167984,7.76937860951398,6.75925527066369,6.49375383985169,4.27666611901606,7.40959061091,6.43197992977958,0.944975599319028,10,0.69459393535996,"Tier 2",FALSE,FALSE
"tour-de-france","2025-07-05","Arkéa - B&B Hotels (WT)","team/arkea-b-b-hotels-2025","VAUQUELIN Kévin","rider/kevin-vauquelin",23,18,2426,939,470,408,897.75,47,47,-3.17805383034795,-2.94443897916644,7.7944112057266,6.84587987526405,6.15485809401642,6.0137151560428,6.80100490903526,6.42202475874096,0.895659253423374,7,0.103717122351265,"Tier 2",FALSE,FALSE
"giro-d-italia","2023-05-06","Movistar Team (WT)","team/movistar-team-2023","RUBIO Einer","rider/einer-rubio",122,35,1161.39,332,596,135,1458.5,NA,NA,-4.81218435537242,-3.58351893845611,7.0582335093285,5.80814248998044,6.3919171133926,4.91265488573605,7.28584919029417,6.37328761035146,0.93015624767872,11,0.123996639738055,"Tier 3",FALSE,FALSE
"giro-d-italia","2024-05-04","INEOS Grenadiers (WT)","team/ineos-grenadiers-2024","ARENSMAN Thymen","rider/thymen-arensman",138,39,1149,202,386,131,1658,NA,NA,-4.93447393313069,-3.68887945411394,7.0475172213573,5.31320597904179,5.95842469302978,4.88280192258637,7.41397029019044,6.34008188549035,0.867074127562204,6,0.119404828775648,"Tier 3",FALSE,FALSE
"giro-d-italia","2025-05-09","Red Bull - BORA - hansgrohe (WT)","team/red-bull-bora-hansgrohe-2025","HINDLEY Jai","rider/jai-hindley",101,35,370.71,264,355,212,1266,0,0,-4.62497281328427,-3.58351893845611,5.91811398035805,5.57972982598622,5.87493073085203,5.36129216570943,7.14440718032114,6.323298210343,0.856714354103907,13,0.271558824699552,"Tier 3",FALSE,FALSE
"tour-de-france","2025-07-05","Movistar Team (WT)","team/movistar-team-2025","MAS Enric","rider/enric-mas",12,11,1021,613,812,151,1554.25,0,0,-2.56494935746154,-2.484906649788,6.92951677076365,6.41999492814714,6.70073110954781,5.02388052084628,7.34939158339513,6.31830763638969,0.975095076327256,8,0.181037115979839,"Tier 2",FALSE,FALSE
