rider_id,rider_name,stage_id,stage,stage_points,cumulative_points
rider/filippo-turconi,TURCONI Filippo,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/filippo-zana,ZANA Filippo,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/florian-stork,STORK Florian,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/fran-miholjevic,MIHOLJEVIĆ Fran,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/francesco-busatto,BUSATTO Francesco,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/frank-van-den-broek,VAN DEN BROEK Frank,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/fredrik-dversnes,DVERSNES LAVIK Fredrik,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/gianmarco-garofoli,GAROFOLI Gianmarco,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/gianni-moscon,MOSCON Gianni,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/gijs-leemreize,LEEMREIZE Gijs,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/giovanni-aleotti,ALEOTTI Giovanni,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/giovanni-lonardi,LONARDI Giovanni,race/giro-d-italia/2026/stage-1,1,10.0,10.0
rider/giulio-ciccone,CICCONE Giulio,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/giulio-pellizzari,PELLIZZARI Giulio,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/gregor-muhlberger,MÜHLBERGER Gregor,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/guillermo-thomas-silva-coussan,SILVA Guillermo Thomas,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/harold-martin-lopez,LÓPEZ Harold Martín,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/hartthijs-de-vries,DE VRIES Hartthijs,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/igor-arrieta-lizarraga,ARRIETA Igor,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/ivan-garcia-cortina,GARCÍA CORTINA Iván,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/jack-haig,HAIG Jack,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/jai-hindley,HINDLEY Jai,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/jake-stewart,STEWART Jake,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/james-shaw,SHAW James,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/jan-christen,CHRISTEN Jan,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/jan-hirt,HIRT Jan,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/jardi-christiaan-van-der-lee,VAN DER LEE Jardi Christiaan,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/jasper-stuyven,STUYVEN Jasper,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/javier-romo,ROMO Javier,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/jay-vine,VINE Jay,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/jefferson-alexander-cepeda,CEPEDA Jefferson Alexander,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/jensen-plowright,PLOWRIGHT Jensen,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/jhonatan-narvaez,NARVÁEZ Jhonatan,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/johan-jacobs,JACOBS Johan,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/johan-price-pejtersen,PRICE-PEJTERSEN Johan,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/johannes-kulset,KULSET Johannes,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/johannes-staune-mittet,STAUNE-MITTET Johannes,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/jonas-geens,GEENS Jonas,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/jonas-rutsch,RUTSCH Jonas,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/jonas-vingegaard,VINGEGAARD Jonas,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/jonathan-milan,MILAN Jonathan,race/giro-d-italia/2026/stage-1,1,14.0,14.0
rider/josh-kench,KENCH Josh,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/joshua-giddings,GIDDINGS Joshua,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/juan-pedro-lopez,LÓPEZ Juan Pedro,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/kaden-groves,GROVES Kaden,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/koen-bouwman,BOUWMAN Koen,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/lawrence-warbasse,WARBASSE Larry,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/lennert-van-eetvelt,VAN EETVELT Lennert,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/lorenzo-milesi,MILESI Lorenzo,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/lorenzo-rota,ROTA Lorenzo,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/luca-mozzato,MOZZATO Luca,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/luca-paletti,PALETTI Luca,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/luca-vergallito,VERGALLITO Luca,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/ludovico-crescioli,CRESCIOLI Ludovico,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/lukas-kubis,KUBIŠ Lukáš,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/madis-mihkels,MIHKELS Madis,race/giro-d-italia/2026/stage-1,1,12.0,12.0
rider/magnus-sheffield,SHEFFIELD Magnus,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/manuele-tarozzi,TAROZZI Manuele,race/giro-d-italia/2026/stage-1,1,2.0,2.0
rider/marc-soler,SOLER Marc,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/mark-donovan,DONOVAN Mark,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/markel-beloki,BELOKI Markel,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/markus-hoelgaard,HOELGAARD Markus,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/martin-marcellusi,MARCELLUSI Martin,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/martin-tjotta,TJØTTA Martin,race/giro-d-italia/2026/stage-1,1,0.0,0.0
