rider_id,rider_name,stage_id,stage,stage_points,cumulative_points
rider/alex-molenaar,MOLENAAR Alex,race/vuelta-a-espana/2025/stage-13,13,0,0
rider/alex-molenaar,MOLENAAR Alex,race/vuelta-a-espana/2025/stage-14,14,0,0
rider/alex-molenaar,MOLENAAR Alex,race/vuelta-a-espana/2025/stage-15,15,0,0
rider/amanuel-ghebreigzabhier,GHEBREIGZABHIER Amanuel,race/vuelta-a-espana/2025/stage-1,1,0,0
rider/amanuel-ghebreigzabhier,GHEBREIGZABHIER Amanuel,race/vuelta-a-espana/2025/stage-2,2,0,0
rider/amanuel-ghebreigzabhier,GHEBREIGZABHIER Amanuel,race/vuelta-a-espana/2025/stage-3,3,0,0
rider/amanuel-ghebreigzabhier,GHEBREIGZABHIER Amanuel,race/vuelta-a-espana/2025/stage-4,4,0,0
rider/amanuel-ghebreigzabhier,GHEBREIGZABHIER Amanuel,race/vuelta-a-espana/2025/stage-5,5,10,10
rider/amanuel-ghebreigzabhier,GHEBREIGZABHIER Amanuel,race/vuelta-a-espana/2025/stage-6,6,0,10
rider/amanuel-ghebreigzabhier,GHEBREIGZABHIER Amanuel,race/vuelta-a-espana/2025/stage-7,7,0,10
rider/amanuel-ghebreigzabhier,GHEBREIGZABHIER Amanuel,race/vuelta-a-espana/2025/stage-8,8,0,10
rider/amanuel-ghebreigzabhier,GHEBREIGZABHIER Amanuel,race/vuelta-a-espana/2025/stage-9,9,0,10
rider/amanuel-ghebreigzabhier,GHEBREIGZABHIER Amanuel,race/vuelta-a-espana/2025/stage-10,10,0,10
rider/amanuel-ghebreigzabhier,GHEBREIGZABHIER Amanuel,race/vuelta-a-espana/2025/stage-11,11,0,10
rider/amanuel-ghebreigzabhier,GHEBREIGZABHIER Amanuel,race/vuelta-a-espana/2025/stage-12,12,0,10
rider/amanuel-ghebreigzabhier,GHEBREIGZABHIER Amanuel,race/vuelta-a-espana/2025/stage-13,13,0,10
rider/amanuel-ghebreigzabhier,GHEBREIGZABHIER Amanuel,race/vuelta-a-espana/2025/stage-14,14,0,10
rider/amanuel-ghebreigzabhier,GHEBREIGZABHIER Amanuel,race/vuelta-a-espana/2025/stage-15,15,0,10
rider/anders-foldager,FOLDAGER Anders,race/vuelta-a-espana/2025/stage-1,1,0,0
rider/anders-foldager,FOLDAGER Anders,race/vuelta-a-espana/2025/stage-2,2,0,0
rider/anders-foldager,FOLDAGER Anders,race/vuelta-a-espana/2025/stage-3,3,0,0
rider/anders-foldager,FOLDAGER Anders,race/vuelta-a-espana/2025/stage-4,4,0,0
rider/anders-foldager,FOLDAGER Anders,race/vuelta-a-espana/2025/stage-5,5,0,0
rider/anders-foldager,FOLDAGER Anders,race/vuelta-a-espana/2025/stage-6,6,0,0
rider/anders-foldager,FOLDAGER Anders,race/vuelta-a-espana/2025/stage-7,7,0,0
rider/anders-foldager,FOLDAGER Anders,race/vuelta-a-espana/2025/stage-8,8,14,14
rider/anders-foldager,FOLDAGER Anders,race/vuelta-a-espana/2025/stage-9,9,0,14
rider/anders-foldager,FOLDAGER Anders,race/vuelta-a-espana/2025/stage-10,10,0,14
rider/anders-foldager,FOLDAGER Anders,race/vuelta-a-espana/2025/stage-11,11,0,14
rider/anders-foldager,FOLDAGER Anders,race/vuelta-a-espana/2025/stage-12,12,0,14
rider/anders-foldager,FOLDAGER Anders,race/vuelta-a-espana/2025/stage-13,13,0,14
rider/anders-foldager,FOLDAGER Anders,race/vuelta-a-espana/2025/stage-14,14,0,14
rider/anders-foldager,FOLDAGER Anders,race/vuelta-a-espana/2025/stage-15,15,0,14
rider/andrea-bagioli,BAGIOLI Andrea,race/vuelta-a-espana/2025/stage-1,1,0,0
rider/andrea-bagioli,BAGIOLI Andrea,race/vuelta-a-espana/2025/stage-2,2,0,0
rider/andrea-bagioli,BAGIOLI Andrea,race/vuelta-a-espana/2025/stage-3,3,0,0
rider/andrea-bagioli,BAGIOLI Andrea,race/vuelta-a-espana/2025/stage-4,4,0,0
rider/andrea-bagioli,BAGIOLI Andrea,race/vuelta-a-espana/2025/stage-5,5,10,10
rider/andrea-bagioli,BAGIOLI Andrea,race/vuelta-a-espana/2025/stage-6,6,0,10
rider/andrea-bagioli,BAGIOLI Andrea,race/vuelta-a-espana/2025/stage-7,7,0,10
rider/andrea-bagioli,BAGIOLI Andrea,race/vuelta-a-espana/2025/stage-8,8,0,10
rider/andrea-bagioli,BAGIOLI Andrea,race/vuelta-a-espana/2025/stage-9,9,0,10
rider/andrea-bagioli,BAGIOLI Andrea,race/vuelta-a-espana/2025/stage-10,10,0,10
rider/andrea-bagioli,BAGIOLI Andrea,race/vuelta-a-espana/2025/stage-11,11,0,10
rider/andrea-bagioli,BAGIOLI Andrea,race/vuelta-a-espana/2025/stage-12,12,0,10
rider/andrea-bagioli,BAGIOLI Andrea,race/vuelta-a-espana/2025/stage-13,13,0,10
rider/andrea-bagioli,BAGIOLI Andrea,race/vuelta-a-espana/2025/stage-14,14,0,10
rider/andrea-bagioli,BAGIOLI Andrea,race/vuelta-a-espana/2025/stage-15,15,0,10
rider/antonio-tiberi,TIBERI Antonio,race/vuelta-a-espana/2025/stage-1,1,0,0
rider/antonio-tiberi,TIBERI Antonio,race/vuelta-a-espana/2025/stage-2,2,0,0
rider/antonio-tiberi,TIBERI Antonio,race/vuelta-a-espana/2025/stage-3,3,0,0
